Filename: Jornada_287001_npp_perennial_plant_phenology_data.csv     Last updated: 02/22/2018  By: Ken Ramsey

Dataset: Plant phenology transect at NPP sites
Project: Perennial Plant Phenology on NPP Sites
Study #:  287

Variable Information:
DATE              = date of observation [DD/MM/YYYY]
DOY               = day of year
ZONE              = vegetation zone  [C=Creosote G=Grassland M=Mesquite  P=Playa T=Tarbush]
SITE              = site name
SPP               = Species Code [4 letter acronym; see LTER site species list]
DORMANT           = Count (number of dormant individuals)
qf_dormant        = quality flag for DORMANT (blank=good  E=estimated  M=missing  Q=questionable)
NON-REP           = Count (number of non-reproductive individuals)
qf_nonrep         = quality flag for NONREP (blank=good  E=estimated  M=missing  Q=questionable)
BUD               = Count (number of individuals in bud)
qf_bud            = quality flag for BUD (blank=good  E=estimated  M=missing  Q=questionable)
FLOWER            = Count (number of individuals in flower)
qf_flower         = quality flag for FLOWER (blank=good  E=estimated  M=missing  Q=questionable)
FRUIT             = Count (number of individuals in fruit. Does not include OLD_FRUIT)
qf_fruit          = quality flag for FRUIT (blank=good  E=estimated  M=missing  Q=questionable)
TOTAL-OLD-FRUIT   = Count (number of individuals with old fruit = old-fruit-dormant plus old-fruit-nonrep)
OLD-FRUIT-DORMANT = Count (number of DORMANT individuals with old fruit)
OLD-FRUIT-NONREP  = Count (number of NON-REP individuals with old fruit)
METHOD            = Method used (B=belt transect; L=line transect)
SEEDLING          = seedling count
qf_seedling       = quality flag for SEEDLING (blank=good  E=estimated  M=missing  Q=questionable)
OBSERVER          = initials of field observer
TOTALOBS          = total of plants observed (dormant+non-rep+bud+flower+fruit)
PercentDORMANT    = percent of all phenophase observations that are Dormant (= Dormant count divided by count sum of all phenophases but discounting Old-Fruit)
PercentNON-REP    = percent of all phenophase observations that are Non-reproductive (= Dormant count divided by count sum of all phenophases but discounting Old-Fruit)
PercentBUD        = percent of all phenophase observations that are Bud (= Bud count divided by count sum of all phenophases but discounting Old-Fruit)
PercentFLOWER     = percent of all phenophase observations that are Flower (= Dormant count divided by count sum of all phenophases but discounting Old-Fruit)
PercentFRUIT      = percent of all phenophase observations that are Fruit (= Dormant count divided by count sum of all phenophases but discounting Old-Fruit)
COMMENT           = Comment section


DATE,DOY,ZONE,SITE,SPP,DORMANT,qf_dormant,NON-REP,qf_nonrep,BUD,qf_bud,FLOWER,qf_flower,FRUIT,qf_fruit,TOTAL_OLD_FRUIT,OLD-FRUIT-DORMANT,OLD-FRUIT-NONREP,METHOD,SEEDLING,qf_seedling,OBSERVER,TOTAL-OBS,Percent-DORMANT,Percent-NON-REP,Percent-BUD,Percent-FLOWER,Percent-FRUIT,COMMENT
7/15/1992,197,G,IBPE,ARSP,0,,3,,0,,0,,12,,0,0,0,B,,,CIS,15,0,20,0,0,80,"Transects switched to S & W on WELL, IBPE, WEST, RABB, NORT."
7/15/1992,197,G,IBPE,BOER,0,,307,,26,,0,,0,,0,0,0,B,,,CIS,333,0,92.19,7.81,0,0,"Transects switched to S & W on WELL, IBPE, WEST, RABB, NORT."
7/15/1992,197,G,IBPE,EPTR,0,,2,,0,,0,,3,,0,0,0,B,,,CIS,5,0,40,0,0,60,"Transects switched to S & W on WELL, IBPE, WEST, RABB, NORT."
7/15/1992,197,G,IBPE,MUPO,0,,0,,2,,0,,0,,0,0,0,B,,,CIS,2,0,0,100,0,0,"Transects switched to S & W on WELL, IBPE, WEST, RABB, NORT."
7/15/1992,197,G,IBPE,PRGL,0,,0,,0,,0,,1,,0,0,0,B,,,CIS,1,0,0,0,0,100,"Transects switched to S & W on WELL, IBPE, WEST, RABB, NORT."
7/15/1992,197,G,IBPE,SELE,0,,0,,0,,0,,13,,0,0,0,B,,,CIS,13,0,0,0,0,100,"Transects switched to S & W on WELL, IBPE, WEST, RABB, NORT."
7/15/1992,197,G,IBPE,SPFL,0,,110,,4,,0,,0,,0,0,0,B,,,CIS,114,0,96.49,3.51,0,0,"Transects switched to S & W on WELL, IBPE, WEST, RABB, NORT."
7/15/1992,197,G,IBPE,XANT,0,,11,,0,,0,,0,,0,0,0,B,,,CIS,11,0,100,0,0,0,"Transects switched to S & W on WELL, IBPE, WEST, RABB, NORT."
7/15/1992,197,G,IBPE,YUEL,0,,10,,0,,0,,0,,0,0,0,B,,,CIS,10,0,100,0,0,0,"Transects switched to S & W on WELL, IBPE, WEST, RABB, NORT."
7/15/1992,197,M,NORT,ARSP,0,,0,,0,,0,,3,,0,0,0,B,,,CIS,3,0,0,0,0,100,"Transects switched to S & W on WELL, IBPE, WEST, RABB, NORT."
7/15/1992,197,M,NORT,DAPU,0,,0,,0,,0,,16,,0,0,0,B,,,CIS,16,0,0,0,0,100,"Transects switched to S & W on WELL, IBPE, WEST, RABB, NORT."
7/15/1992,197,M,NORT,MUPO,0,,3,,0,,0,,0,,0,0,0,B,,,CIS,3,0,100,0,0,0,"Transects switched to S & W on WELL, IBPE, WEST, RABB, NORT."
7/15/1992,197,M,NORT,PRGL,0,,19,,1,,0,,13,,0,0,0,B,,,CIS,33,0,57.58,3.03,0,39.39,"Transects switched to S & W on WELL, IBPE, WEST, RABB, NORT."
7/15/1992,197,M,NORT,SPFL,0,,20,,3,,0,,0,,0,0,0,B,,,CIS,23,0,86.96,13.04,0,0,"Transects switched to S & W on WELL, IBPE, WEST, RABB, NORT."
7/15/1992,197,M,NORT,XANT,0,,45,,9,,2,,0,,0,0,0,B,,,CIS,56,0,80.36,16.07,3.57,0,"Transects switched to S & W on WELL, IBPE, WEST, RABB, NORT."
7/15/1992,197,M,RABB,ARSP,0,,3,,1,,0,,8,,0,0,0,B,,,CIS,12,0,25,8.33,0,66.67,"Transects switched to S & W on WELL, IBPE, WEST, RABB, NORT."
7/15/1992,197,M,RABB,DAPU,0,,0,,0,,422,,0,,0,0,0,B,,,CIS,422,0,0,0,100,0,"Transects switched to S & W on WELL, IBPE, WEST, RABB, NORT."
7/15/1992,197,M,RABB,MUPO,0,,1,,2,,0,,0,,0,0,0,B,,,CIS,3,0,33.33,66.67,0,0,"Transects switched to S & W on WELL, IBPE, WEST, RABB, NORT."
7/15/1992,197,M,RABB,PRGL,0,,35,,0,,0,,3,,0,0,0,B,,,CIS,38,0,92.11,0,0,7.89,"Transects switched to S & W on WELL, IBPE, WEST, RABB, NORT."
