#
# 3-day summary product time series for jershrubland
#
# Site: jershrubland
# Veg Type: SH
# ROI ID Number: 1000
# Lat: 32.6502
# Lon: -106.8334
# Elev: 1328
# UTC Offset: -7
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2019-12-17
# Creation Time: 14:10:18
# Update Date: 2020-02-20
# Update Time: 05:29:49
# Final Processing Date:: 2020-02-20
# Final Processing Time:: 15:57:35
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2018-12-03,2018,337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31235,0.31206,0.31468,0.31726,0.48,0.4683,0.48001,0.48512,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-12-04,2018,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31235,0.31206,0.31468,0.31726,0.48,0.4683,0.48001,0.48512,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-12-05,2018,339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31235,0.31209,0.31472,0.31714,0.47876,0.46777,0.47924,0.48458,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-12-06,2018,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31235,0.3121,0.31474,0.31702,0.47758,0.46726,0.47851,0.48406,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-12-07,2018,341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31233,0.3121,0.31474,0.3169,0.47643,0.46677,0.47781,0.48357,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-12-08,2018,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31229,0.31209,0.31472,0.31678,0.47532,0.46631,0.47716,0.48311,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-12-09,2018,343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31225,0.31207,0.31468,0.31667,0.47423,0.46588,0.47654,0.48267,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-12-10,2018,344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31219,0.31203,0.31463,0.31655,0.47317,0.46548,0.47597,0.48226,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-12-11,2018,345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31213,0.31198,0.31457,0.31644,0.47212,0.46511,0.47543,0.48187,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-12-12,2018,346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31204,0.31191,0.31448,0.31632,0.47109,0.46476,0.47494,0.48151,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-12-13,2018,347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31195,0.31183,0.31437,0.31621,0.47005,0.46443,0.47449,0.48118,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-12-14,2018,348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31185,0.31174,0.31426,0.3161,0.46902,0.46412,0.47408,0.48087,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-12-15,2018,349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31173,0.31163,0.31413,0.316,0.46798,0.46384,0.47371,0.48059,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-12-16,2018,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31161,0.3115,0.314,0.3159,0.46693,0.46358,0.47338,0.48033,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-12-17,2018,351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31147,0.31136,0.31384,0.3158,0.46585,0.46334,0.47308,0.48009,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-12-18,2018,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31131,0.31121,0.31365,0.3157,0.46476,0.46312,0.47281,0.47988,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-12-19,2018,353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31115,0.31104,0.31346,0.31561,0.46363,0.46292,0.47259,0.47968,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-12-20,2018,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31098,0.31084,0.31326,0.31551,0.46248,0.46274,0.4724,0.47952,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-12-21,2018,355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31078,0.31061,0.31301,0.31541,0.46136,0.46259,0.47227,0.47939,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-12-22,2018,356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31056,0.31035,0.31274,0.31531,0.46024,0.46247,0.47218,0.4793,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-12-23,2018,357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31035,0.31009,0.31247,0.31521,0.45914,0.46237,0.47214,0.47923,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-12-24,2018,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31016,0.30985,0.31225,0.31512,0.45805,0.46229,0.47214,0.47919,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-12-25,2018,359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,0.30965,0.3121,0.31502,0.45698,0.46223,0.47217,0.47918,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-12-26,2018,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30985,0.30945,0.31202,0.31493,0.45593,0.46219,0.47223,0.47918,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-12-27,2018,361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3097,0.30923,0.31198,0.31485,0.45489,0.46216,0.47232,0.4792,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-12-28,2018,362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30957,0.30906,0.31195,0.31478,0.45388,0.46214,0.47242,0.47923,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-12-29,2018,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30951,0.30898,0.31196,0.31472,0.45289,0.46216,0.47257,0.47927,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-12-30,2018,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30948,0.30896,0.31206,0.31469,0.45192,0.46224,0.4728,0.47932,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2018-12-31,2018,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30948,0.30897,0.3122,0.31468,0.45098,0.46235,0.47308,0.47939,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-01,2019,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30948,0.30899,0.31231,0.31468,0.45006,0.46249,0.47339,0.47948,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-02,2019,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30945,0.30901,0.31236,0.31468,0.44916,0.46265,0.47373,0.47959,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-03,2019,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30947,0.30909,0.31241,0.31467,0.4483,0.46282,0.47406,0.47972,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-04,2019,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30953,0.30923,0.31249,0.31465,0.44746,0.46298,0.47438,0.47987,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-05,2019,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30955,0.3093,0.31251,0.3146,0.44665,0.46313,0.47467,0.48006,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-06,2019,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30951,0.3093,0.31242,0.31454,0.44588,0.46332,0.47494,0.48029,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-07,2019,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30946,0.30928,0.31227,0.31447,0.44512,0.4636,0.47525,0.4806,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-08,2019,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3094,0.30925,0.31208,0.3144,0.44439,0.46394,0.47557,0.48095,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-09,2019,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30933,0.3092,0.31188,0.31432,0.44369,0.46431,0.47591,0.48134,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-10,2019,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30926,0.30913,0.31169,0.31424,0.443,0.46471,0.47625,0.48175,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-11,2019,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30919,0.30904,0.31153,0.31415,0.44234,0.46509,0.47659,0.48215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-12,2019,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3091,0.30884,0.31134,0.31407,0.4417,0.46545,0.47692,0.48254,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-13,2019,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30899,0.30857,0.3111,0.31399,0.44108,0.46575,0.47724,0.4829,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-14,2019,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3089,0.30837,0.31092,0.31391,0.44048,0.46598,0.47752,0.48321,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-15,2019,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30883,0.30828,0.31083,0.31383,0.4399,0.46616,0.47782,0.48352,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-16,2019,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30877,0.30821,0.31075,0.31374,0.43934,0.46634,0.47817,0.48387,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-17,2019,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30871,0.30816,0.3107,0.31364,0.4388,0.46651,0.47853,0.48424,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-18,2019,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30864,0.30811,0.31065,0.31354,0.43827,0.46668,0.4789,0.48462,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-19,2019,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30858,0.30808,0.31061,0.31344,0.43777,0.46684,0.47926,0.48498,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-20,2019,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30851,0.30804,0.31057,0.31334,0.43727,0.467,0.47958,0.48531,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2019-01-21,2019,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30847,0.30805,0.31058,0.31324,0.4368,0.46715,0.47985,0.48559,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
