#
# Transition date estimate for ibp0
#
# Site: ibp0
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2013
# Year max: 2014
# Final Processing Date: 2020-02-20
# Final Processing Time: 15:55:08
# Spline RMSE gcc_mean: 0.0015
# Spline RMSE gcc_50: 0.00156
# Spline RMSE gcc_75: 0.00178
# Spline RMSE gcc_90: 0.00203
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
ibp0,GR,1000,rising,gcc_90,2013-05-02,2013-07-31,2013-08-08,2013-04-28,2013-07-28,2013-08-06,2013-05-09,2013-08-03,2013-08-10,0.3387,0.34342,0.35244,0.33582,0.36826
ibp0,GR,1000,rising,gcc_90,2014-04-14,2014-04-26,2014-05-05,2014-03-30,2014-04-22,2014-05-01,2014-04-15,2014-04-29,2014-05-08,0.33927,0.34238,0.34823,0.33721,0.35859
ibp0,GR,1000,rising,gcc_75,2013-05-03,2013-07-31,2013-08-08,2013-04-28,2013-07-29,2013-08-06,2013-05-11,2013-08-03,2013-08-09,0.3373,0.34151,0.35055,0.33417,0.36583
ibp0,GR,1000,rising,gcc_75,2014-04-13,2014-04-26,2014-05-05,2014-04-01,2014-04-23,2014-05-02,2014-04-24,2014-04-29,2014-05-08,0.33756,0.34043,0.34633,0.33549,0.3568
ibp0,GR,1000,rising,gcc_50,2013-07-28,2013-08-03,2013-08-09,2013-07-25,2013-08-01,2013-08-07,2013-07-29,2013-08-05,2013-08-11,0.33808,0.3425,0.34945,0.33576,0.36312
ibp0,GR,1000,rising,gcc_50,2014-04-17,2014-04-26,2014-05-05,2014-03-29,2014-04-24,2014-05-02,2014-04-25,2014-04-29,2014-05-07,0.33596,0.33842,0.3443,0.33392,0.35449
ibp0,GR,1000,rising,gcc_mean,2013-07-28,2013-08-03,2013-08-10,2013-07-26,2013-08-01,2013-08-07,2013-07-29,2013-08-05,2013-08-11,0.33838,0.34271,0.35077,0.3361,0.36322
ibp0,GR,1000,rising,gcc_mean,2014-04-19,2014-04-27,2014-05-06,2014-04-01,2014-04-25,2014-05-02,2014-04-25,2014-04-30,2014-05-07,0.33621,0.33923,0.34519,0.33421,0.35485
ibp0,GR,1000,falling,gcc_90,2013-10-17,2013-10-10,2013-10-03,2013-10-19,2013-10-12,2013-10-05,2013-10-13,2013-10-08,2013-10-01,0.3381,0.34362,0.35234,0.33536,0.36869
ibp0,GR,1000,falling,gcc_75,2013-10-17,2013-10-11,2013-10-03,2013-10-19,2013-10-12,2013-10-05,2013-10-14,2013-10-08,2013-10-02,0.33592,0.34083,0.35075,0.33324,0.36607
ibp0,GR,1000,falling,gcc_50,2013-10-21,2013-10-13,2013-10-04,2013-10-25,2013-10-14,2013-10-06,2013-10-17,2013-10-10,2013-10-03,0.33164,0.33647,0.34657,0.32826,0.3635
ibp0,GR,1000,falling,gcc_mean,2013-10-22,2013-10-14,2013-10-04,2013-10-26,2013-10-15,2013-10-06,2013-10-19,2013-10-11,2013-10-03,0.33142,0.33616,0.34693,0.32787,0.36371
