#
# Transition date estimate for ibp
#
# Site: ibp
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2014
# Year max: 2019
# Final Processing Date: 2020-02-20
# Final Processing Time: 15:54:38
# Spline RMSE gcc_mean: 0.00071
# Spline RMSE gcc_50: 0.00072
# Spline RMSE gcc_75: 0.00077
# Spline RMSE gcc_90: 0.00082
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
ibp,GR,1000,rising,gcc_90,2014-07-11,2014-07-14,2014-07-31,2014-07-09,2014-07-13,2014-07-30,2014-07-13,2014-07-16,2014-08-01,0.34145,0.34535,0.35451,0.33897,0.36744
ibp,GR,1000,rising,gcc_90,2015-07-03,2015-07-06,2015-07-11,2015-07-02,2015-07-05,2015-07-09,2015-07-04,2015-07-07,2015-07-12,0.34453,0.34985,0.36112,0.34193,0.37728
ibp,GR,1000,rising,gcc_90,2016-08-06,2016-08-11,2016-08-18,2016-08-05,2016-08-10,2016-08-16,2016-08-08,2016-08-12,2016-08-19,0.34008,0.34746,0.35881,0.33708,0.37896
ibp,GR,1000,rising,gcc_90,2017-07-14,2017-07-19,2017-07-25,2017-07-13,2017-07-17,2017-07-23,2017-07-17,2017-07-20,2017-07-26,0.34405,0.34896,0.35757,0.34172,0.37073
ibp,GR,1000,rising,gcc_75,2014-07-10,2014-07-13,2014-07-30,2014-07-09,2014-07-12,2014-07-29,2014-07-12,2014-07-15,2014-07-31,0.33985,0.34339,0.35205,0.33788,0.36469
ibp,GR,1000,rising,gcc_75,2015-07-03,2015-07-06,2015-07-11,2015-07-02,2015-07-05,2015-07-09,2015-07-04,2015-07-08,2015-07-12,0.3437,0.34842,0.35929,0.3415,0.37475
ibp,GR,1000,rising,gcc_75,2016-08-06,2016-08-11,2016-08-18,2016-08-05,2016-08-10,2016-08-17,2016-08-08,2016-08-12,2016-08-19,0.33966,0.34639,0.35672,0.33674,0.37652
ibp,GR,1000,rising,gcc_75,2017-07-14,2017-07-18,2017-07-24,2017-07-12,2017-07-17,2017-07-23,2017-07-17,2017-07-20,2017-07-25,0.34356,0.34709,0.35495,0.34129,0.36777
ibp,GR,1000,rising,gcc_50,2014-07-10,2014-07-13,2014-07-19,2014-07-08,2014-07-12,2014-07-18,2014-07-12,2014-07-15,2014-07-31,0.33912,0.34235,0.34916,0.33719,0.36106
ibp,GR,1000,rising,gcc_50,2015-07-05,2015-07-07,2015-07-11,2015-07-04,2015-07-06,2015-07-09,2015-07-06,2015-07-08,2015-07-12,0.34394,0.3483,0.35773,0.34103,0.37243
