#
# Transition date estimate for ibp
#
# Site: ibp
# Veg Type: NV
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2013
# Year max: 2017
# Final Processing Date: 2020-02-20
# Final Processing Time: 15:54:51
# Spline RMSE gcc_mean: 0.00074
# Spline RMSE gcc_50: 0.00076
# Spline RMSE gcc_75: 0.00071
# Spline RMSE gcc_90: 0.00076
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
ibp,NV,1000,rising,gcc_90,2013-07-30,2013-08-05,2013-08-11,2013-07-28,2013-08-03,2013-08-10,2013-08-02,2013-08-07,2013-08-12,0.34686,0.35193,0.3614,0.34337,0.37861
ibp,NV,1000,rising,gcc_90,2014-07-10,2014-07-14,2014-07-29,2014-07-08,2014-07-12,2014-07-26,2014-07-12,2014-07-16,2014-07-30,0.3442,0.34747,0.35318,0.34237,0.36296
ibp,NV,1000,rising,gcc_90,2015-05-19,2015-07-04,2015-07-10,2015-05-17,2015-07-03,2015-07-09,2015-05-22,2015-07-06,2015-07-11,0.34568,0.34933,0.35797,0.3432,0.37236
ibp,NV,1000,rising,gcc_90,2016-08-08,2016-08-12,2016-08-20,2016-08-07,2016-08-11,2016-08-18,2016-08-10,2016-08-14,2016-08-21,0.34399,0.34843,0.3582,0.34154,0.37227
ibp,NV,1000,rising,gcc_90,2017-07-14,2017-07-18,2017-07-24,2017-07-11,2017-07-17,2017-07-22,2017-07-15,2017-07-20,2017-07-25,0.34666,0.34983,0.35699,0.34431,0.36829
ibp,NV,1000,rising,gcc_75,2013-07-31,2013-08-05,2013-08-12,2013-07-29,2013-08-04,2013-08-10,2013-08-03,2013-08-07,2013-08-13,0.34558,0.35011,0.36128,0.34301,0.376
ibp,NV,1000,rising,gcc_75,2014-07-11,2014-07-14,2014-07-29,2014-07-09,2014-07-13,2014-07-26,2014-07-13,2014-07-16,2014-07-31,0.3442,0.34681,0.35253,0.34232,0.3619
ibp,NV,1000,rising,gcc_75,2015-05-19,2015-07-05,2015-07-10,2015-05-17,2015-07-04,2015-07-09,2015-05-22,2015-07-06,2015-07-11,0.34515,0.34973,0.3571,0.34271,0.37133
ibp,NV,1000,rising,gcc_75,2016-08-08,2016-08-13,2016-08-20,2016-08-07,2016-08-12,2016-08-18,2016-08-10,2016-08-14,2016-08-21,0.34336,0.34848,0.35705,0.34116,0.37081
ibp,NV,1000,rising,gcc_75,2017-07-14,2017-07-18,2017-07-24,2017-07-11,2017-07-17,2017-07-22,2017-07-15,2017-07-20,2017-07-25,0.34608,0.34906,0.35637,0.34388,0.36664
ibp,NV,1000,rising,gcc_50,2013-07-31,2013-08-05,2013-08-11,2013-07-29,2013-08-04,2013-08-10,2013-08-03,2013-08-07,2013-08-12,0.34446,0.34923,0.3578,0.34206,0.37343
ibp,NV,1000,rising,gcc_50,2014-07-11,2014-07-14,2014-07-30,2014-07-09,2014-07-13,2014-07-27,2014-07-13,2014-07-16,2014-08-01,0.34367,0.34615,0.35149,0.34195,0.3607
ibp,NV,1000,rising,gcc_50,2015-07-01,2015-07-06,2015-07-11,2015-05-18,2015-07-05,2015-07-09,2015-07-02,2015-07-08,2015-07-12,0.345,0.34917,0.35759,0.34236,0.3705
ibp,NV,1000,rising,gcc_50,2016-08-08,2016-08-13,2016-08-20,2016-08-07,2016-08-12,2016-08-18,2016-08-11,2016-08-15,2016-08-21,0.3426,0.34745,0.35593,0.34063,0.36928
ibp,NV,1000,rising,gcc_50,2017-07-13,2017-07-18,2017-07-24,2017-06-25,2017-07-17,2017-07-22,2017-07-14,2017-07-20,2017-07-25,0.34494,0.34781,0.35499,0.34297,0.36524
ibp,NV,1000,rising,gcc_mean,2013-07-30,2013-08-05,2013-08-11,2013-07-28,2013-08-03,2013-08-10,2013-08-02,2013-08-07,2013-08-12,0.34404,0.34954,0.35823,0.34147,0.37422
ibp,NV,1000,rising,gcc_mean,2014-07-11,2014-07-14,2014-07-30,2014-07-09,2014-07-13,2014-07-27,2014-07-13,2014-07-16,2014-08-01,0.34368,0.3461,0.35182,0.34191,0.36088
ibp,NV,1000,rising,gcc_mean,2015-06-30,2015-07-05,2015-07-11,2015-05-18,2015-07-04,2015-07-09,2015-07-01,2015-07-07,2015-07-12,0.34516,0.34867,0.35776,0.34235,0.37058
ibp,NV,1000,rising,gcc_mean,2016-08-08,2016-08-13,2016-08-20,2016-08-07,2016-08-12,2016-08-18,2016-08-10,2016-08-15,2016-08-21,0.34276,0.3476,0.35593,0.34065,0.36924
ibp,NV,1000,rising,gcc_mean,2017-07-14,2017-07-19,2017-07-24,2017-07-12,2017-07-17,2017-07-22,2017-07-15,2017-07-21,2017-07-25,0.34536,0.34898,0.35482,0.34358,0.36549
