#
# Transition date estimate for jernort
#
# Site: jernort
# Veg Type: NV
# ROI ID Number: 2000
# Aggregation period: 3day
# Year min: 2016
# Year max: 2019
# Final Processing Date: 2020-02-20
# Final Processing Time: 15:56:47
# Spline RMSE gcc_mean: 0.00084
# Spline RMSE gcc_50: 0.00088
# Spline RMSE gcc_75: 0.00088
# Spline RMSE gcc_90: 0.00105
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
jernort,NV,2000,rising,gcc_90,2017-03-25,2017-03-31,2017-04-07,2017-03-24,2017-03-30,2017-04-05,2017-03-28,2017-04-02,2017-04-08,0.33272,0.33786,0.34884,0.3297,0.36571
jernort,NV,2000,rising,gcc_90,2018-04-08,2018-04-13,2018-04-20,2018-04-06,2018-04-12,2018-04-18,2018-04-10,2018-04-15,2018-04-21,0.33199,0.33643,0.34729,0.32862,0.36332
jernort,NV,2000,rising,gcc_90,2019-04-15,2019-04-19,2019-04-24,2019-04-13,2019-04-18,2019-04-23,2019-04-17,2019-04-20,2019-04-25,0.32952,0.33379,0.34198,0.327,0.35602
jernort,NV,2000,rising,gcc_75,2017-03-22,2017-03-30,2017-04-06,2017-03-20,2017-03-29,2017-04-05,2017-03-25,2017-04-01,2017-04-07,0.32886,0.33466,0.34518,0.3253,0.36491
jernort,NV,2000,rising,gcc_75,2018-04-09,2018-04-14,2018-04-21,2018-04-07,2018-04-13,2018-04-19,2018-04-11,2018-04-16,2018-04-22,0.33098,0.33575,0.34679,0.32773,0.36247
jernort,NV,2000,rising,gcc_75,2019-04-16,2019-04-19,2019-04-25,2019-04-15,2019-04-18,2019-04-23,2019-04-18,2019-04-21,2019-04-26,0.32833,0.33164,0.34145,0.3258,0.3542
jernort,NV,2000,rising,gcc_50,2017-03-22,2017-03-31,2017-04-07,2017-03-20,2017-03-30,2017-04-06,2017-03-25,2017-04-02,2017-04-08,0.32775,0.33378,0.34456,0.32412,0.36391
jernort,NV,2000,rising,gcc_50,2018-04-09,2018-04-14,2018-04-21,2018-04-08,2018-04-13,2018-04-20,2018-04-11,2018-04-16,2018-04-22,0.33002,0.33444,0.34499,0.32697,0.36127
jernort,NV,2000,rising,gcc_50,2019-04-16,2019-04-20,2019-04-25,2019-04-15,2019-04-19,2019-04-24,2019-04-18,2019-04-21,2019-04-26,0.32696,0.33153,0.33948,0.32458,0.35243
jernort,NV,2000,rising,gcc_mean,2017-03-26,2017-04-01,2017-04-08,2017-03-25,2017-03-31,2017-04-06,2017-03-28,2017-04-03,2017-04-09,0.33032,0.33535,0.34697,0.32706,0.36394
jernort,NV,2000,rising,gcc_mean,2018-04-09,2018-04-14,2018-04-21,2018-04-07,2018-04-13,2018-04-19,2018-04-11,2018-04-16,2018-04-22,0.33025,0.3348,0.34542,0.32701,0.36156
jernort,NV,2000,rising,gcc_mean,2019-04-16,2019-04-20,2019-04-25,2019-04-15,2019-04-19,2019-04-24,2019-04-18,2019-04-21,2019-04-26,0.32722,0.33185,0.33986,0.32479,0.35332
jernort,NV,2000,falling,gcc_90,2019-11-23,2019-11-15,2019-11-04,2019-11-25,2019-11-16,2019-11-06,2019-11-20,2019-11-13,2019-11-03,0.3313,0.33608,0.34472,0.32833,0.36086
jernort,NV,2000,falling,gcc_90,2018-12-08,2018-11-26,2018-11-09,2018-12-11,2018-11-30,2018-11-12,2018-12-04,2018-11-21,2018-11-07,0.33211,0.33715,0.34535,0.32929,0.3609
jernort,NV,2000,falling,gcc_90,2017-12-14,2017-12-03,2017-11-04,2017-12-16,2017-12-05,2017-11-10,2017-12-11,2017-11-30,2017-10-31,0.33348,0.33873,0.34791,0.33027,0.36525
jernort,NV,2000,falling,gcc_90,2016-12-19,2016-11-30,2016-11-06,2016-12-23,2016-12-02,2016-11-13,2016-12-14,2016-11-27,2016-11-03,0.33037,0.33495,0.34355,0.32732,0.35932
jernort,NV,2000,falling,gcc_75,2019-11-23,2019-11-16,2019-11-04,2019-11-24,2019-11-17,2019-11-06,2019-11-21,2019-11-14,2019-11-03,0.33008,0.33461,0.34357,0.32711,0.35925
jernort,NV,2000,falling,gcc_75,2018-12-07,2018-11-24,2018-11-08,2018-12-10,2018-11-28,2018-11-11,2018-12-05,2018-11-20,2018-11-07,0.33104,0.33578,0.34426,0.32788,0.35988
jernort,NV,2000,falling,gcc_75,2017-12-13,2017-12-03,2017-11-01,2017-12-15,2017-12-05,2017-11-07,2017-12-10,2017-11-30,2017-10-29,0.33276,0.3379,0.34737,0.32939,0.36488
jernort,NV,2000,falling,gcc_50,2019-11-23,2019-11-16,2019-11-04,2019-11-24,2019-11-18,2019-11-06,2019-11-21,2019-11-14,2019-11-03,0.32897,0.33406,0.34258,0.3264,0.35763
