#
# Transition date estimate for jernort
#
# Site: jernort
# Veg Type: SH
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2015
# Year max: 2016
# Final Processing Date: 2020-02-20
# Final Processing Time: 15:56:52
# Spline RMSE gcc_mean: 0.00102
# Spline RMSE gcc_50: 0.00107
# Spline RMSE gcc_75: 0.00111
# Spline RMSE gcc_90: 0.00134
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
jernort,SH,1000,rising,gcc_90,2015-04-03,2015-04-05,2015-04-10,2015-04-02,2015-04-04,2015-04-09,2015-04-04,2015-04-07,2015-04-11,0.33418,0.33838,0.35018,0.33034,0.36994
jernort,SH,1000,rising,gcc_90,2016-04-11,2016-04-14,2016-04-20,2016-04-09,2016-04-13,2016-04-18,2016-04-13,2016-04-16,2016-04-21,0.33273,0.33755,0.35258,0.3281,0.3751
jernort,SH,1000,rising,gcc_75,2015-04-03,2015-04-05,2015-04-11,2015-04-02,2015-04-04,2015-04-10,2015-04-04,2015-04-07,2015-04-12,0.33308,0.33718,0.35054,0.32914,0.36873
jernort,SH,1000,rising,gcc_75,2016-04-11,2016-04-15,2016-04-21,2016-04-10,2016-04-14,2016-04-19,2016-04-13,2016-04-16,2016-04-22,0.33073,0.33734,0.35236,0.32657,0.37385
jernort,SH,1000,rising,gcc_50,2015-04-03,2015-04-06,2015-05-17,2015-04-02,2015-04-05,2015-05-13,2015-04-04,2015-04-08,2015-05-20,0.33207,0.3378,0.34934,0.32841,0.3701
jernort,SH,1000,rising,gcc_50,2016-04-12,2016-04-16,2016-04-21,2016-04-11,2016-04-15,2016-04-20,2016-04-14,2016-04-17,2016-04-22,0.33025,0.33785,0.34993,0.32654,0.37209
jernort,SH,1000,rising,gcc_mean,2015-04-02,2015-04-06,2015-04-13,2015-04-01,2015-04-05,2015-04-12,2015-04-04,2015-04-07,2015-05-16,0.33066,0.3378,0.34823,0.32794,0.36786
jernort,SH,1000,rising,gcc_mean,2016-04-12,2016-04-15,2016-04-21,2016-04-11,2016-04-14,2016-04-20,2016-04-14,2016-04-17,2016-04-22,0.33049,0.33573,0.35019,0.32669,0.37195
jernort,SH,1000,falling,gcc_90,2015-12-19,2015-12-04,2015-11-17,2015-12-29,2015-12-06,2015-11-21,2015-12-12,2015-12-01,2015-11-13,0.33373,0.34028,0.35201,0.3293,0.37451
jernort,SH,1000,falling,gcc_75,2015-12-18,2015-12-05,2015-11-16,2015-12-23,2015-12-07,2015-11-20,2015-12-14,2015-12-02,2015-11-13,0.33231,0.33897,0.35096,0.32785,0.37375
jernort,SH,1000,falling,gcc_50,2015-12-18,2015-12-05,2015-11-15,2015-12-22,2015-12-07,2015-11-18,2015-12-15,2015-12-02,2015-11-13,0.33119,0.33794,0.34997,0.32666,0.37291
jernort,SH,1000,falling,gcc_mean,2015-12-18,2015-12-05,2015-11-15,2015-12-21,2015-12-07,2015-11-19,2015-12-15,2015-12-03,2015-11-13,0.33101,0.33806,0.35018,0.32661,0.37292
