#
# Transition date estimate for jernwern
#
# Site: jernwern
# Veg Type: SH
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2019
# Final Processing Date: 2020-02-20
# Final Processing Time: 15:57:22
# Spline RMSE gcc_mean: 0.0018
# Spline RMSE gcc_50: 0.00192
# Spline RMSE gcc_75: 0.0016
# Spline RMSE gcc_90: 0.00177
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
jernwern,SH,1000,rising,gcc_90,2018-04-12,2018-04-16,2018-04-21,2018-04-11,2018-04-15,2018-04-19,2018-04-14,2018-04-18,2018-04-22,0.32563,0.33455,0.35291,0.32125,0.37839
jernwern,SH,1000,rising,gcc_90,2019-04-14,2019-04-16,2019-04-20,2019-03-18,2019-03-18,2019-04-19,2019-04-17,2019-04-17,2019-04-21,0.32305,0.33519,0.35992,0.31784,0.40074
jernwern,SH,1000,rising,gcc_75,2018-04-12,2018-04-16,2018-04-21,2018-04-11,2018-04-15,2018-04-20,2018-04-14,2018-04-18,2018-04-22,0.32125,0.33011,0.34842,0.31608,0.37624
jernwern,SH,1000,rising,gcc_75,2019-04-15,2019-04-17,2019-04-21,2019-03-18,2019-04-13,2019-04-19,2019-04-17,2019-04-18,2019-04-22,0.32363,0.33668,0.36226,0.31712,0.39655
jernwern,SH,1000,rising,gcc_50,2018-04-13,2018-04-17,2018-04-21,2018-04-12,2018-04-16,2018-04-20,2018-04-15,2018-04-18,2018-04-22,0.31719,0.32708,0.34366,0.31241,0.37473
jernwern,SH,1000,rising,gcc_50,2019-04-15,2019-04-17,2019-04-21,2019-03-18,2019-04-13,2019-04-20,2019-04-17,2019-04-18,2019-04-22,0.3189,0.3301,0.35505,0.31185,0.39304
jernwern,SH,1000,rising,gcc_mean,2018-04-13,2018-04-17,2018-04-21,2018-04-12,2018-04-16,2018-04-20,2018-04-15,2018-04-18,2018-04-22,0.31843,0.32818,0.34426,0.31357,0.37482
jernwern,SH,1000,rising,gcc_mean,2019-04-14,2019-04-16,2019-04-21,2019-03-18,2019-03-18,2019-04-19,2019-04-17,2019-04-17,2019-04-22,0.31712,0.32676,0.35619,0.30909,0.39428
jernwern,SH,1000,falling,gcc_90,2019-11-01,2019-08-22,2019-08-11,2019-11-03,2019-08-23,2019-08-13,2019-10-28,2019-08-20,2019-08-08,0.33141,0.34075,0.35871,0.32537,0.39115
jernwern,SH,1000,falling,gcc_90,2018-12-06,2018-11-16,2018-11-04,2018-12-10,2018-11-17,2018-11-07,2018-12-01,2018-11-14,2018-10-27,0.32497,0.33247,0.34698,0.31982,0.37406
jernwern,SH,1000,falling,gcc_90,2017-12-19,2017-12-12,2017-11-29,2018-01-21,2017-12-15,2017-12-03,2017-12-14,2017-12-06,2017-11-25,0.33083,0.33449,0.34133,0.32864,0.35372
jernwern,SH,1000,falling,gcc_75,2019-10-31,2019-08-22,2019-08-09,2019-11-02,2019-08-23,2019-08-12,2019-10-28,2019-08-20,2019-08-01,0.33009,0.3378,0.35656,0.32368,0.3887
jernwern,SH,1000,falling,gcc_75,2018-12-07,2018-11-15,2018-10-31,2018-12-10,2018-11-16,2018-11-01,2018-12-01,2018-11-13,2018-09-30,0.3218,0.33052,0.34488,0.31666,0.37283
jernwern,SH,1000,falling,gcc_75,2017-12-22,2017-12-15,2017-12-01,2018-02-05,2017-12-18,2017-12-04,2017-12-17,2017-12-11,2017-11-28,0.32779,0.33186,0.33867,0.3254,0.35188
jernwern,SH,1000,falling,gcc_50,2019-10-29,2019-08-21,2019-08-04,2019-11-01,2019-08-22,2019-08-11,2019-10-23,2019-08-19,2019-07-22,0.32711,0.33567,0.35369,0.32096,0.38611
jernwern,SH,1000,falling,gcc_50,2018-12-04,2018-11-14,2018-10-29,2018-12-08,2018-11-16,2018-10-30,2018-11-18,2018-11-12,2018-09-25,0.31991,0.32837,0.34239,0.31451,0.37005
jernwern,SH,1000,falling,gcc_50,2018-02-06,2017-12-21,2017-11-30,2018-02-08,2018-01-03,2017-12-03,2018-01-03,2017-12-17,2017-11-29,0.32114,0.32549,0.33506,0.31875,0.34923
jernwern,SH,1000,falling,gcc_mean,2019-10-28,2019-08-21,2019-08-04,2019-11-01,2019-08-22,2019-08-10,2019-10-23,2019-08-19,2019-07-24,0.32765,0.33583,0.35401,0.32117,0.38671
jernwern,SH,1000,falling,gcc_mean,2018-12-05,2018-11-14,2018-10-28,2018-12-09,2018-11-16,2018-10-29,2018-11-18,2018-11-12,2018-09-03,0.32036,0.3284,0.34248,0.3149,0.3699
jernwern,SH,1000,falling,gcc_mean,2017-12-21,2017-12-15,2017-11-29,2018-01-03,2017-12-18,2017-12-01,2017-12-17,2017-12-02,2017-11-27,0.3216,0.32633,0.33375,0.31937,0.34742
