#
# Transition date estimate for ibp
#
# Site: ibp
# Veg Type: SH
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2014
# Year max: 2019
# Final Processing Date: 2020-02-20
# Final Processing Time: 15:55:03
# Spline RMSE gcc_mean: 0.00152
# Spline RMSE gcc_50: 0.00159
# Spline RMSE gcc_75: 0.00161
# Spline RMSE gcc_90: 0.00165
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
ibp,SH,1000,rising,gcc_90,2014-04-19,2014-04-23,2014-05-01,2014-04-18,2014-04-22,2014-04-29,2014-04-21,2014-04-25,2014-05-02,0.32645,0.33595,0.35667,0.32064,0.38916
ibp,SH,1000,rising,gcc_90,2015-05-09,2015-05-14,2015-05-21,2015-05-08,2015-05-13,2015-05-19,2015-05-11,2015-05-16,2015-05-22,0.34025,0.3513,0.37477,0.33374,0.41144
ibp,SH,1000,rising,gcc_90,2016-04-20,2016-04-24,2016-04-30,2016-04-18,2016-04-23,2016-04-28,2016-04-22,2016-04-26,2016-05-01,0.33788,0.3424,0.3537,0.3345,0.3709
ibp,SH,1000,rising,gcc_90,2017-04-06,2017-04-10,2017-04-16,2017-04-05,2017-04-09,2017-04-15,2017-04-08,2017-04-11,2017-04-17,0.34109,0.34872,0.36177,0.33771,0.38351
ibp,SH,1000,rising,gcc_75,2014-04-20,2014-04-24,2014-05-02,2014-04-19,2014-04-23,2014-04-30,2014-04-22,2014-04-25,2014-05-03,0.32599,0.33637,0.3554,0.31995,0.38747
ibp,SH,1000,rising,gcc_75,2015-05-09,2015-05-14,2015-05-21,2015-05-08,2015-05-13,2015-05-19,2015-05-11,2015-05-15,2015-05-22,0.33839,0.34912,0.37216,0.33171,0.40799
ibp,SH,1000,rising,gcc_75,2016-04-20,2016-04-25,2016-04-30,2016-04-18,2016-04-23,2016-04-29,2016-04-22,2016-04-27,2016-05-01,0.3363,0.34217,0.352,0.33311,0.36989
ibp,SH,1000,rising,gcc_75,2017-04-06,2017-04-10,2017-04-16,2017-04-05,2017-04-09,2017-04-15,2017-04-08,2017-04-11,2017-04-17,0.33995,0.34724,0.35988,0.33649,0.38171
ibp,SH,1000,rising,gcc_50,2014-04-21,2014-04-24,2014-05-03,2014-04-20,2014-04-23,2014-05-01,2014-04-22,2014-04-26,2014-05-04,0.32543,0.33348,0.35368,0.31897,0.38554
ibp,SH,1000,rising,gcc_50,2015-05-09,2015-05-14,2015-05-21,2015-05-08,2015-05-13,2015-05-20,2015-05-11,2015-05-16,2015-05-22,0.33492,0.34544,0.36821,0.32815,0.40531
ibp,SH,1000,rising,gcc_50,2016-04-21,2016-04-25,2016-05-01,2016-04-19,2016-04-24,2016-04-29,2016-04-23,2016-04-27,2016-05-02,0.33483,0.33948,0.35125,0.33158,0.3685
ibp,SH,1000,rising,gcc_50,2017-04-06,2017-04-10,2017-04-17,2017-04-05,2017-04-09,2017-04-16,2017-04-08,2017-04-12,2017-04-18,0.33844,0.34508,0.35953,0.33482,0.37953
ibp,SH,1000,rising,gcc_50,2018-04-19,2018-04-24,2018-05-02,2018-04-15,2018-04-22,2018-04-29,2018-04-22,2018-04-27,2018-05-03,0.34136,0.34458,0.35247,0.33878,0.36479
ibp,SH,1000,rising,gcc_50,2019-04-20,2019-04-24,2019-05-01,2019-04-17,2019-04-23,2019-04-29,2019-04-23,2019-04-26,2019-05-03,0.33884,0.34254,0.34972,0.33674,0.36224
ibp,SH,1000,rising,gcc_mean,2014-04-20,2014-04-24,2014-05-02,2014-04-19,2014-04-23,2014-05-01,2014-04-22,2014-04-26,2014-05-03,0.32282,0.33301,0.35144,0.31758,0.38493
ibp,SH,1000,rising,gcc_mean,2015-05-09,2015-05-14,2015-05-21,2015-05-08,2015-05-13,2015-05-20,2015-05-11,2015-05-16,2015-05-22,0.33486,0.34552,0.3685,0.32799,0.4054
ibp,SH,1000,rising,gcc_mean,2016-04-20,2016-04-25,2016-04-30,2016-04-19,2016-04-24,2016-04-29,2016-04-22,2016-04-27,2016-05-01,0.33364,0.33947,0.34965,0.33047,0.36792
ibp,SH,1000,rising,gcc_mean,2017-04-06,2017-04-10,2017-04-16,2017-04-05,2017-04-09,2017-04-15,2017-04-08,2017-04-11,2017-04-17,0.33737,0.34443,0.35686,0.33373,0.37878
ibp,SH,1000,rising,gcc_mean,2018-04-18,2018-04-24,2018-05-01,2018-04-15,2018-04-22,2018-04-29,2018-04-22,2018-04-26,2018-05-03,0.34081,0.34468,0.35178,0.33858,0.36493
ibp,SH,1000,rising,gcc_mean,2019-04-18,2019-04-23,2019-04-30,2019-04-11,2019-04-22,2019-04-28,2019-04-21,2019-04-25,2019-05-02,0.33789,0.3415,0.34887,0.33545,0.36189
ibp,SH,1000,falling,gcc_90,2018-10-09,2018-08-14,2018-06-19,2018-10-10,2018-08-15,2018-06-20,2018-10-08,2018-08-13,2018-06-05,0.34926,0.35475,0.3645,0.34546,0.38354
ibp,SH,1000,falling,gcc_90,2016-11-29,2016-11-17,2016-10-25,2016-12-17,2016-11-21,2016-10-30,2016-11-24,2016-11-12,2016-10-21,0.3457,0.35072,0.35944,0.34248,0.3759
ibp,SH,1000,falling,gcc_90,2015-11-27,2015-11-18,2015-10-29,2015-11-29,2015-11-20,2015-11-01,2015-11-25,2015-11-16,2015-10-28,0.34187,0.35241,0.37052,0.33507,0.40447
ibp,SH,1000,falling,gcc_90,2014-12-10,2014-11-27,2014-11-09,2014-12-12,2014-12-02,2014-11-11,2014-12-06,2014-11-23,2014-11-07,0.34532,0.35294,0.36542,0.34107,0.38914
ibp,SH,1000,falling,gcc_75,2019-10-31,2019-10-22,2019-09-26,2019-11-01,2019-10-23,2019-09-27,2019-10-28,2019-10-19,2018-06-07,0.34803,0.35388,0.36341,0.34455,0.38227
ibp,SH,1000,falling,gcc_75,2016-11-30,2016-11-18,2016-10-25,2016-12-18,2016-11-21,2016-10-30,2016-11-24,2016-11-13,2016-10-22,0.34444,0.34905,0.35799,0.34116,0.37412
ibp,SH,1000,falling,gcc_75,2015-11-27,2015-11-18,2015-10-29,2015-11-29,2015-11-20,2015-11-01,2015-11-25,2015-11-16,2015-10-27,0.34042,0.35104,0.36894,0.33371,0.40314
ibp,SH,1000,falling,gcc_75,2014-12-11,2014-12-01,2014-11-10,2014-12-13,2014-12-03,2014-11-12,2014-12-07,2014-11-25,2014-11-08,0.34356,0.35084,0.36353,0.33945,0.38682
ibp,SH,1000,falling,gcc_50,2019-11-16,2019-11-08,2019-10-27,2019-11-19,2019-11-11,2019-10-30,2019-11-12,2019-11-04,2019-10-25,0.33932,0.34317,0.35005,0.33725,0.36231
ibp,SH,1000,falling,gcc_50,2018-11-25,2018-11-06,2018-10-02,2018-12-04,2018-11-10,2018-10-08,2018-11-14,2018-11-01,2018-09-25,0.33865,0.34295,0.35014,0.33597,0.3639
ibp,SH,1000,falling,gcc_50,2017-12-05,2017-11-20,2017-10-24,2017-12-08,2017-11-25,2017-10-26,2017-12-01,2017-11-09,2017-10-22,0.34385,0.3499,0.36028,0.34006,0.3803
ibp,SH,1000,falling,gcc_50,2016-12-03,2016-11-19,2016-10-27,2016-12-18,2016-11-22,2016-11-01,2016-11-25,2016-11-14,2016-10-24,0.34259,0.34728,0.35613,0.33941,0.37206
ibp,SH,1000,falling,gcc_50,2015-11-28,2015-11-19,2015-10-29,2015-11-29,2015-11-20,2015-11-01,2015-11-25,2015-11-16,2015-10-28,0.33746,0.34824,0.36712,0.33176,0.40093
ibp,SH,1000,falling,gcc_50,2014-12-12,2014-12-01,2014-11-12,2014-12-14,2014-12-04,2014-11-14,2014-12-08,2014-11-27,2014-11-10,0.34153,0.34894,0.36066,0.33729,0.38393
ibp,SH,1000,falling,gcc_mean,2019-11-15,2019-11-08,2019-10-27,2019-11-19,2019-11-11,2019-10-30,2019-11-12,2019-11-04,2019-10-25,0.33946,0.3429,0.34969,0.33694,0.36217
ibp,SH,1000,falling,gcc_mean,2018-11-23,2018-11-06,2018-10-03,2018-12-03,2018-11-10,2018-10-08,2018-11-13,2018-11-01,2018-09-28,0.33854,0.34275,0.34978,0.33592,0.36362
ibp,SH,1000,falling,gcc_mean,2017-12-05,2017-11-21,2017-10-24,2017-12-08,2017-11-26,2017-10-27,2017-12-01,2017-11-14,2017-10-22,0.34327,0.34938,0.35981,0.33945,0.37942
ibp,SH,1000,falling,gcc_mean,2016-12-01,2016-11-19,2016-10-27,2016-12-18,2016-11-22,2016-10-31,2016-11-25,2016-11-14,2016-10-24,0.34258,0.34726,0.35605,0.33951,0.37201
ibp,SH,1000,falling,gcc_mean,2015-11-23,2015-11-14,2015-10-26,2015-11-24,2015-11-16,2015-10-29,2015-11-21,2015-11-12,2015-10-24,0.343,0.35294,0.3694,0.33742,0.40055
ibp,SH,1000,falling,gcc_mean,2014-12-12,2014-12-02,2014-11-11,2014-12-14,2014-12-04,2014-11-14,2014-12-08,2014-11-28,2014-11-10,0.34087,0.34823,0.36101,0.33686,0.38363
