#
# Transition date estimate for jerbajada
#
# Site: jerbajada
# Veg Type: SH
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2014
# Year max: 2017
# Final Processing Date: 2020-02-20
# Final Processing Time: 15:55:20
# Spline RMSE gcc_mean: 0.00089
# Spline RMSE gcc_50: 0.00097
# Spline RMSE gcc_75: 0.00101
# Spline RMSE gcc_90: 0.00108
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
jerbajada,SH,1000,rising,gcc_90,2014-07-27,2014-08-06,2014-09-05,2014-07-22,2014-08-03,2014-09-01,2014-08-01,2014-08-09,2014-09-07,0.32345,0.32675,0.33266,0.32148,0.34318
jerbajada,SH,1000,rising,gcc_90,2017-07-12,2017-07-20,2017-07-29,2017-07-09,2017-07-18,2017-07-26,2017-07-13,2017-07-22,2017-07-31,0.32944,0.33289,0.33868,0.32744,0.34962
jerbajada,SH,1000,rising,gcc_75,2014-07-31,2014-08-06,2014-09-05,2014-07-28,2014-08-04,2014-09-02,2014-08-02,2014-08-09,2014-09-06,0.3223,0.32528,0.33158,0.32012,0.34244
jerbajada,SH,1000,rising,gcc_75,2017-07-13,2017-07-20,2017-07-29,2017-07-11,2017-07-18,2017-07-27,2017-07-14,2017-07-22,2017-07-31,0.32753,0.33115,0.33706,0.32567,0.34828
jerbajada,SH,1000,rising,gcc_50,2014-07-31,2014-08-06,2014-09-05,2014-07-29,2014-08-04,2014-09-02,2014-08-03,2014-08-09,2014-09-06,0.32047,0.32385,0.33023,0.31852,0.34128
jerbajada,SH,1000,rising,gcc_50,2017-07-15,2017-07-21,2017-07-30,2017-07-13,2017-07-19,2017-07-27,2017-07-16,2017-07-23,2017-07-31,0.32607,0.32956,0.33578,0.32394,0.34666
jerbajada,SH,1000,rising,gcc_mean,2014-07-31,2014-08-07,2014-09-05,2014-07-29,2014-08-05,2014-09-02,2014-08-03,2014-08-09,2014-09-06,0.32066,0.32435,0.33027,0.31871,0.34133
jerbajada,SH,1000,rising,gcc_mean,2017-07-15,2017-07-21,2017-07-30,2017-07-13,2017-07-19,2017-07-27,2017-07-16,2017-07-23,2017-07-31,0.32643,0.32981,0.33603,0.32419,0.34697
jerbajada,SH,1000,falling,gcc_90,2017-11-27,2017-10-27,2017-10-02,2017-12-03,2017-11-03,2017-10-05,2017-11-22,2017-10-22,2017-09-29,0.32532,0.32933,0.33621,0.32265,0.34941
jerbajada,SH,1000,falling,gcc_90,2014-11-16,2014-11-06,2014-10-19,2014-11-21,2014-11-10,2014-10-24,2014-11-15,2014-11-05,2014-10-16,0.32954,0.33179,0.33593,0.32818,0.34336
jerbajada,SH,1000,falling,gcc_75,2017-11-26,2017-10-24,2017-10-01,2017-12-02,2017-10-29,2017-10-04,2017-11-18,2017-10-20,2017-09-29,0.32389,0.32789,0.33509,0.32127,0.34823
jerbajada,SH,1000,falling,gcc_75,2014-11-14,2014-11-04,2014-10-18,2014-11-18,2014-11-08,2014-10-22,2014-11-13,2014-11-03,2014-10-16,0.32806,0.33046,0.3349,0.32662,0.34257
jerbajada,SH,1000,falling,gcc_50,2017-11-24,2017-10-22,2017-09-30,2017-12-01,2017-10-25,2017-10-03,2017-11-14,2017-10-17,2017-09-27,0.32271,0.32645,0.33339,0.32012,0.34662
jerbajada,SH,1000,falling,gcc_50,2014-11-14,2014-11-04,2014-10-19,2014-11-18,2014-11-08,2014-10-23,2014-11-13,2014-11-03,2014-10-16,0.32668,0.32913,0.33336,0.3251,0.34145
jerbajada,SH,1000,falling,gcc_mean,2017-11-25,2017-10-22,2017-09-30,2017-12-02,2017-10-26,2017-10-03,2017-11-17,2017-10-18,2017-09-28,0.32286,0.32686,0.3338,0.32023,0.34684
jerbajada,SH,1000,falling,gcc_mean,2014-11-14,2014-11-04,2014-10-19,2014-11-18,2014-11-07,2014-10-22,2014-11-13,2014-11-03,2014-10-16,0.32696,0.32943,0.33357,0.32544,0.34165
