#
# Transition date estimate for jernort
#
# Site: jernort
# Veg Type: NV
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2014
# Year max: 2016
# Final Processing Date: 2020-02-20
# Final Processing Time: 15:56:39
# Spline RMSE gcc_mean: 0.00079
# Spline RMSE gcc_50: 0.00097
# Spline RMSE gcc_75: 0.00107
# Spline RMSE gcc_90: 0.0013
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
jernort,NV,1000,rising,gcc_90,2014-04-19,2014-04-24,2014-05-04,2014-04-14,2014-04-21,2014-04-30,2014-04-23,2014-04-29,2014-05-06,0.32678,0.3298,0.3361,0.32456,0.34706
jernort,NV,1000,rising,gcc_90,2015-03-31,2015-04-05,2015-04-12,2015-03-29,2015-04-04,2015-04-11,2015-04-03,2015-04-06,2015-05-20,0.33094,0.33538,0.34262,0.32836,0.35684
jernort,NV,1000,rising,gcc_90,2016-04-11,2016-04-15,2016-04-21,2016-04-09,2016-04-14,2016-04-19,2016-04-13,2016-04-17,2016-04-22,0.32995,0.33406,0.34285,0.32707,0.35673
jernort,NV,1000,rising,gcc_75,2014-04-19,2014-04-25,2014-05-05,2014-04-16,2014-04-23,2014-05-02,2014-04-24,2014-04-29,2014-05-06,0.32527,0.32839,0.33485,0.32353,0.34509
jernort,NV,1000,rising,gcc_75,2015-03-31,2015-04-05,2015-04-13,2015-03-29,2015-04-04,2015-04-12,2015-04-02,2015-04-06,2015-05-21,0.32978,0.3342,0.34161,0.32713,0.35574
jernort,NV,1000,rising,gcc_75,2016-04-11,2016-04-15,2016-04-21,2016-04-09,2016-04-14,2016-04-20,2016-04-13,2016-04-17,2016-04-22,0.32801,0.33184,0.34036,0.32522,0.35476
jernort,NV,1000,rising,gcc_50,2014-04-19,2014-04-25,2014-05-05,2014-04-16,2014-04-23,2014-05-02,2014-04-23,2014-04-29,2014-05-07,0.32416,0.3272,0.33337,0.32249,0.34352
jernort,NV,1000,rising,gcc_50,2015-04-01,2015-04-06,2015-05-23,2015-03-31,2015-04-05,2015-05-20,2015-04-04,2015-04-08,2015-05-26,0.3295,0.33359,0.34193,0.32696,0.35666
jernort,NV,1000,rising,gcc_50,2016-04-11,2016-04-15,2016-04-22,2016-04-10,2016-04-14,2016-04-20,2016-04-13,2016-04-17,2016-04-23,0.32642,0.33003,0.33918,0.32415,0.35239
jernort,NV,1000,rising,gcc_mean,2014-04-21,2014-04-25,2014-05-04,2014-04-17,2014-04-23,2014-04-29,2014-04-25,2014-04-29,2014-05-06,0.32425,0.32748,0.33341,0.32258,0.34368
jernort,NV,1000,rising,gcc_mean,2015-04-02,2015-04-06,2015-05-20,2015-04-01,2015-04-05,2015-05-16,2015-04-04,2015-04-07,2015-05-23,0.329,0.33374,0.34139,0.32676,0.35568
jernort,NV,1000,rising,gcc_mean,2016-04-12,2016-04-16,2016-04-21,2016-04-11,2016-04-15,2016-04-20,2016-04-14,2016-04-17,2016-04-22,0.32678,0.33121,0.33891,0.32453,0.35309
jernort,NV,1000,falling,gcc_90,2015-12-28,2015-12-05,2015-11-19,2015-12-31,2015-12-07,2015-11-23,2015-12-21,2015-12-02,2015-11-16,0.33091,0.33538,0.34366,0.32784,0.35907
jernort,NV,1000,falling,gcc_90,2014-12-10,2014-12-02,2014-11-17,2014-12-13,2014-12-06,2014-11-22,2014-12-05,2014-11-26,2014-11-14,0.33196,0.33441,0.33902,0.33038,0.3472
jernort,NV,1000,falling,gcc_75,2015-12-21,2015-12-05,2015-11-18,2015-12-25,2015-12-07,2015-11-21,2015-12-16,2015-12-03,2015-11-15,0.32898,0.33375,0.3421,0.32584,0.35801
jernort,NV,1000,falling,gcc_75,2014-12-13,2014-12-05,2014-11-18,2014-12-15,2014-12-09,2014-11-22,2014-12-09,2014-12-01,2014-11-15,0.32974,0.33262,0.33704,0.32835,0.34568
jernort,NV,1000,falling,gcc_50,2015-12-19,2015-12-04,2015-11-15,2015-12-22,2015-12-06,2015-11-18,2015-12-14,2015-12-01,2015-11-12,0.328,0.3327,0.34118,0.32495,0.35694
jernort,NV,1000,falling,gcc_50,2014-12-12,2014-12-04,2014-11-18,2014-12-14,2014-12-07,2014-11-22,2014-12-08,2014-11-29,2014-11-15,0.32902,0.33167,0.3361,0.32764,0.34444
jernort,NV,1000,falling,gcc_mean,2015-12-19,2015-12-05,2015-11-16,2015-12-23,2015-12-07,2015-11-19,2015-12-15,2015-12-02,2015-11-14,0.32832,0.33281,0.34136,0.3252,0.35703
jernort,NV,1000,falling,gcc_mean,2014-12-13,2014-12-05,2014-11-18,2014-12-16,2014-12-08,2014-11-22,2014-12-09,2014-12-01,2014-11-15,0.32897,0.33169,0.33624,0.32744,0.34486
