#
# Transition date estimate for jernort
#
# Site: jernort
# Veg Type: SH
# ROI ID Number: 2000
# Aggregation period: 3day
# Year min: 2016
# Year max: 2019
# Final Processing Date: 2020-02-20
# Final Processing Time: 15:56:59
# Spline RMSE gcc_mean: 0.00122
# Spline RMSE gcc_50: 0.00131
# Spline RMSE gcc_75: 0.00125
# Spline RMSE gcc_90: 0.00138
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
jernort,SH,2000,rising,gcc_90,2017-03-22,2017-03-29,2017-04-05,2017-03-21,2017-03-28,2017-04-04,2017-03-25,2017-03-30,2017-04-06,0.33261,0.34185,0.35676,0.32768,0.38522
jernort,SH,2000,rising,gcc_90,2018-04-09,2018-04-13,2018-04-20,2018-04-08,2018-04-12,2018-04-18,2018-04-11,2018-04-15,2018-04-21,0.33354,0.3401,0.3581,0.32885,0.38161
jernort,SH,2000,rising,gcc_90,2019-04-15,2019-04-18,2019-04-24,2019-04-13,2019-04-17,2019-04-22,2019-04-17,2019-04-20,2019-04-25,0.33144,0.33589,0.35049,0.32727,0.37004
jernort,SH,2000,rising,gcc_75,2017-03-23,2017-03-29,2017-04-06,2017-03-21,2017-03-28,2017-04-04,2017-03-25,2017-03-31,2017-04-07,0.33163,0.3392,0.35701,0.32608,0.38419
jernort,SH,2000,rising,gcc_75,2018-04-09,2018-04-14,2018-04-20,2018-04-08,2018-04-13,2018-04-19,2018-04-11,2018-04-15,2018-04-21,0.33249,0.34054,0.35521,0.32819,0.38048
jernort,SH,2000,rising,gcc_75,2019-04-15,2019-04-19,2019-04-24,2019-04-14,2019-04-18,2019-04-23,2019-04-17,2019-04-20,2019-04-25,0.32965,0.33581,0.34754,0.32624,0.36832
jernort,SH,2000,rising,gcc_50,2017-03-23,2017-03-30,2017-04-06,2017-03-21,2017-03-29,2017-04-05,2017-03-25,2017-04-01,2017-04-07,0.33044,0.33857,0.35453,0.32479,0.3831
jernort,SH,2000,rising,gcc_50,2018-04-10,2018-04-14,2018-04-21,2018-04-08,2018-04-13,2018-04-19,2018-04-12,2018-04-16,2018-04-22,0.33237,0.33878,0.35565,0.32729,0.3791
jernort,SH,2000,rising,gcc_50,2019-04-15,2019-04-19,2019-04-25,2019-04-14,2019-04-18,2019-04-23,2019-04-17,2019-04-21,2019-04-26,0.3284,0.33432,0.34834,0.32494,0.36663
jernort,SH,2000,rising,gcc_mean,2017-03-22,2017-03-29,2017-04-06,2017-03-21,2017-03-28,2017-04-04,2017-03-25,2017-03-31,2017-04-07,0.32997,0.33774,0.35517,0.32493,0.38163
jernort,SH,2000,rising,gcc_mean,2018-04-09,2018-04-14,2018-04-20,2018-04-08,2018-04-13,2018-04-19,2018-04-11,2018-04-16,2018-04-21,0.33135,0.33909,0.35333,0.32709,0.37895
jernort,SH,2000,rising,gcc_mean,2019-04-15,2019-04-19,2019-04-25,2019-04-14,2019-04-18,2019-04-23,2019-04-17,2019-04-21,2019-04-26,0.32851,0.33451,0.34877,0.3251,0.36729
jernort,SH,2000,falling,gcc_90,2019-11-22,2019-11-15,2019-11-03,2019-11-24,2019-11-16,2019-11-05,2019-11-20,2019-11-13,2019-11-02,0.33418,0.3409,0.35451,0.32949,0.37779
jernort,SH,2000,falling,gcc_90,2018-12-06,2018-11-19,2018-11-05,2018-12-09,2018-11-22,2018-11-07,2018-12-03,2018-11-16,2018-11-02,0.33473,0.34175,0.35377,0.3302,0.37728
jernort,SH,2000,falling,gcc_90,2017-12-14,2017-12-03,2017-10-31,2017-12-16,2017-12-05,2017-11-06,2017-12-11,2017-11-30,2017-10-28,0.33572,0.34378,0.35756,0.33072,0.38403
jernort,SH,2000,falling,gcc_90,2016-12-06,2016-11-27,2016-11-03,2016-12-11,2016-11-29,2016-11-07,2016-12-03,2016-11-25,2016-10-30,0.33571,0.34191,0.35308,0.33156,0.37446
jernort,SH,2000,falling,gcc_75,2019-11-22,2019-11-15,2019-11-03,2019-11-23,2019-11-16,2019-11-05,2019-11-20,2019-11-13,2019-11-02,0.33306,0.34023,0.35359,0.32858,0.37667
jernort,SH,2000,falling,gcc_75,2018-12-06,2018-11-19,2018-11-04,2018-12-08,2018-11-22,2018-11-07,2018-12-03,2018-11-16,2018-11-01,0.33335,0.34086,0.35319,0.32922,0.37638
jernort,SH,2000,falling,gcc_75,2017-12-14,2017-12-03,2017-10-31,2017-12-16,2017-12-05,2017-11-05,2017-12-12,2017-11-30,2017-10-28,0.33494,0.34296,0.35668,0.3298,0.38295
