#
# Transition date estimate for jersand
#
# Site: jersand
# Veg Type: SH
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2014
# Year max: 2019
# Final Processing Date: 2020-02-20
# Final Processing Time: 15:57:32
# Spline RMSE gcc_mean: 0.00065
# Spline RMSE gcc_50: 0.00072
# Spline RMSE gcc_75: 0.00071
# Spline RMSE gcc_90: 0.00124
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
jersand,SH,1000,rising,gcc_90,2014-07-03,2014-07-07,2014-07-27,2014-07-02,2014-07-06,2014-07-24,2014-07-05,2014-07-09,2014-07-29,0.32169,0.32702,0.33637,0.31877,0.35374
jersand,SH,1000,rising,gcc_90,2015-03-03,2015-03-15,2015-03-27,2015-02-19,2015-03-12,2015-03-26,2015-03-11,2015-03-19,2015-03-30,0.3303,0.33279,0.33763,0.32851,0.34656
jersand,SH,1000,rising,gcc_90,2016-08-10,2016-08-14,2016-08-19,2016-08-09,2016-08-13,2016-08-18,2016-08-11,2016-08-15,2016-08-20,0.33159,0.33558,0.34284,0.33002,0.3548
jersand,SH,1000,rising,gcc_90,2017-07-15,2017-07-17,2017-07-23,2017-07-14,2017-07-16,2017-07-21,2017-07-16,2017-07-19,2017-07-24,0.33692,0.33986,0.3488,0.33441,0.36078
jersand,SH,1000,rising,gcc_90,2018-06-30,2018-07-06,2018-07-14,2018-06-18,2018-07-05,2018-07-12,2018-07-01,2018-07-09,2018-07-16,0.33048,0.33301,0.33873,0.3286,0.34863
jersand,SH,1000,rising,gcc_75,2014-07-27,2014-07-29,2014-08-01,2014-07-26,2014-07-28,2014-07-31,2014-07-28,2014-07-30,2014-08-02,0.33086,0.33422,0.34214,0.32958,0.35281
jersand,SH,1000,rising,gcc_75,2015-02-20,2015-03-14,2015-03-27,2015-02-15,2015-03-12,2015-03-26,2015-03-12,2015-03-17,2015-03-29,0.32875,0.33147,0.33699,0.32693,0.34607
jersand,SH,1000,rising,gcc_75,2016-08-12,2016-08-14,2016-08-19,2016-08-11,2016-08-13,2016-08-17,2016-08-13,2016-08-15,2016-08-20,0.33064,0.33457,0.34268,0.32852,0.35465
jersand,SH,1000,rising,gcc_75,2017-07-15,2017-07-18,2017-07-23,2017-07-14,2017-07-17,2017-07-21,2017-07-16,2017-07-19,2017-07-24,0.33427,0.3391,0.34814,0.33268,0.36147
jersand,SH,1000,rising,gcc_75,2018-06-17,2018-07-09,2018-07-13,2018-06-16,2018-07-08,2018-07-12,2018-06-18,2018-07-11,2018-07-14,0.32739,0.33081,0.33693,0.32662,0.34409
jersand,SH,1000,rising,gcc_50,2014-07-28,2014-07-29,2014-08-02,2014-07-27,2014-07-28,2014-07-31,2014-07-29,2014-07-31,2014-08-03,0.33059,0.33232,0.34261,0.32872,0.3519
jersand,SH,1000,rising,gcc_50,2015-02-19,2015-03-14,2015-03-26,2015-02-15,2015-03-12,2015-03-25,2015-03-11,2015-03-16,2015-03-29,0.32755,0.33054,0.33557,0.3257,0.34513
jersand,SH,1000,rising,gcc_50,2016-08-12,2016-08-14,2016-08-19,2016-08-11,2016-08-13,2016-08-17,2016-08-13,2016-08-15,2016-08-20,0.32887,0.33314,0.34157,0.32706,0.3534
jersand,SH,1000,rising,gcc_50,2017-07-16,2017-07-18,2017-07-23,2017-07-15,2017-07-17,2017-07-22,2017-07-17,2017-07-19,2017-07-24,0.33376,0.33721,0.34645,0.33148,0.361
jersand,SH,1000,rising,gcc_50,2018-07-08,2018-07-10,2018-07-14,2018-07-06,2018-07-09,2018-07-13,2018-07-09,2018-07-12,2018-07-15,0.32742,0.32959,0.33704,0.32558,0.34784
jersand,SH,1000,rising,gcc_50,2019-06-09,2019-06-10,2019-06-13,2019-06-08,2019-06-09,2019-06-12,2019-06-10,2019-06-12,2019-06-14,0.33085,0.33261,0.33866,0.33095,0.34511
jersand,SH,1000,rising,gcc_mean,2014-07-28,2014-07-29,2014-08-02,2014-07-27,2014-07-28,2014-07-31,2014-07-29,2014-07-31,2014-08-03,0.33069,0.33238,0.34252,0.32888,0.35185
jersand,SH,1000,rising,gcc_mean,2015-02-20,2015-03-14,2015-03-26,2015-02-16,2015-03-12,2015-03-25,2015-03-12,2015-03-17,2015-03-29,0.32763,0.33048,0.33555,0.32586,0.34508
jersand,SH,1000,rising,gcc_mean,2016-08-12,2016-08-14,2016-08-19,2016-08-11,2016-08-13,2016-08-17,2016-08-13,2016-08-15,2016-08-20,0.32831,0.3326,0.34158,0.327,0.3534
jersand,SH,1000,rising,gcc_mean,2017-07-16,2017-07-18,2017-07-23,2017-07-15,2017-07-17,2017-07-22,2017-07-17,2017-07-19,2017-07-24,0.33366,0.33719,0.34655,0.3317,0.3608
jersand,SH,1000,rising,gcc_mean,2018-07-08,2018-07-10,2018-07-14,2018-07-06,2018-07-09,2018-07-13,2018-07-09,2018-07-12,2018-07-15,0.32743,0.32956,0.33705,0.32558,0.34793
jersand,SH,1000,falling,gcc_90,2019-11-07,2019-10-31,2019-10-23,2019-11-08,2019-11-01,2019-10-24,2019-11-02,2019-10-28,2019-10-21,0.33105,0.33351,0.33777,0.32967,0.34512
jersand,SH,1000,falling,gcc_90,2017-11-03,2017-10-11,2017-09-23,2017-11-21,2017-10-15,2017-09-25,2017-10-26,2017-10-07,2017-09-22,0.33117,0.33633,0.34532,0.32778,0.36233
jersand,SH,1000,falling,gcc_90,2016-11-23,2016-11-06,2016-10-16,2016-11-27,2016-11-15,2016-10-20,2016-11-19,2016-10-30,2016-10-14,0.33111,0.33507,0.34194,0.32874,0.35416
jersand,SH,1000,falling,gcc_90,2015-12-14,2015-11-28,2015-09-09,2015-12-21,2015-12-04,2015-09-13,2015-12-06,2015-11-20,2015-09-06,0.32989,0.3329,0.33784,0.3281,0.34745
