Value,MODLAND,VI Usefulness,Aerosol Quantity,Adjacent cloud detected,Atmosphere BRDF Correction,Mixed Clouds,Land/Water Mask,Possible snow/ice,Possible shadow
14,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,No,Shallow ocean,No,No
17,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,Shallow ocean,No,No
18,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,No,Shallow ocean,No,No
21,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,Shallow ocean,No,No
22,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,No,Shallow ocean,No,No
63,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,No,Shallow ocean,No,No
68,VI produced with good quality,Lower quality,Low,No,No,No,Shallow ocean,No,No
70,"Pixel produced, but most probably cloudy",Lower quality,Low,No,No,No,Shallow ocean,No,No
72,VI produced with good quality,Decreasing quality,Low,No,No,No,Shallow ocean,No,No
74,"Pixel produced, but most probably cloudy",Decreasing quality,Low,No,No,No,Shallow ocean,No,No
76,VI produced with good quality,Decreasing quality,Low,No,No,No,Shallow ocean,No,No
78,"Pixel produced, but most probably cloudy",Decreasing quality,Low,No,No,No,Shallow ocean,No,No
127,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,No,No,No,Shallow ocean,No,No
137,"VI produced, but check other QA",Decreasing quality,Average,No,No,No,Shallow ocean,No,No
138,"Pixel produced, but most probably cloudy",Decreasing quality,Average,No,No,No,Shallow ocean,No,No
141,"VI produced, but check other QA",Decreasing quality,Average,No,No,No,Shallow ocean,No,No
142,"Pixel produced, but most probably cloudy",Decreasing quality,Average,No,No,No,Shallow ocean,No,No
145,"VI produced, but check other QA",Decreasing quality,Average,No,No,No,Shallow ocean,No,No
146,"Pixel produced, but most probably cloudy",Decreasing quality,Average,No,No,No,Shallow ocean,No,No
191,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,No,No,No,Shallow ocean,No,No
209,"VI produced, but check other QA",Decreasing quality,High,No,No,No,Shallow ocean,No,No
213,"VI produced, but check other QA",Decreasing quality,High,No,No,No,Shallow ocean,No,No
214,"Pixel produced, but most probably cloudy",Decreasing quality,High,No,No,No,Shallow ocean,No,No
217,"VI produced, but check other QA",Decreasing quality,High,No,No,No,Shallow ocean,No,No
218,"Pixel produced, but most probably cloudy",Decreasing quality,High,No,No,No,Shallow ocean,No,No
255,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,No,No,No,Shallow ocean,No,No
273,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,Shallow ocean,No,No
274,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,No,Shallow ocean,No,No
277,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,Shallow ocean,No,No
278,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,No,Shallow ocean,No,No
281,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,Shallow ocean,No,No
319,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,No,Shallow ocean,No,No
383,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,Yes,No,No,Shallow ocean,No,No
397,"VI produced, but check other QA",Decreasing quality,Average,Yes,No,No,Shallow ocean,No,No
401,"VI produced, but check other QA",Decreasing quality,Average,Yes,No,No,Shallow ocean,No,No
405,"VI produced, but check other QA",Decreasing quality,Average,Yes,No,No,Shallow ocean,No,No
447,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,Yes,No,No,Shallow ocean,No,No
473,"VI produced, but check other QA",Decreasing quality,High,Yes,No,No,Shallow ocean,No,No
511,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,Yes,No,No,Shallow ocean,No,No
1050,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,Yes,Shallow ocean,No,No
1054,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,Yes,Shallow ocean,No,No
1058,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,Yes,Shallow ocean,No,No
1087,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,Yes,Shallow ocean,No,No
1106,"Pixel produced, but most probably cloudy",Decreasing quality,Low,No,No,Yes,Shallow ocean,No,No
1110,"Pixel produced, but most probably cloudy",Decreasing quality,Low,No,No,Yes,Shallow ocean,No,No
1151,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,No,No,Yes,Shallow ocean,No,No
1174,"Pixel produced, but most probably cloudy",Decreasing quality,Average,No,No,Yes,Shallow ocean,No,No
1178,"Pixel produced, but most probably cloudy",Decreasing quality,Average,No,No,Yes,Shallow ocean,No,No
1182,"Pixel produced, but most probably cloudy",Decreasing quality,Average,No,No,Yes,Shallow ocean,No,No
1215,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,No,No,Yes,Shallow ocean,No,No
1250,"Pixel produced, but most probably cloudy",Decreasing quality,High,No,No,Yes,Shallow ocean,No,No
1254,"Pixel produced, but most probably cloudy",Decreasing quality,High,No,No,Yes,Shallow ocean,No,No
